Sample,Genotype,Inoculum,Replicate
MG70_2,MG70,SC,R2
MG70_3,MG70,SC,R3
MG71_1,MG71,SC,R1
MG71_2,MG71,SC,R2
MG71_3,MG71,SC,R3
MG72_1,MG72,SC,R1
MG72_2,MG72,SC,R2
MG72_3,MG72,SC,R3
MG73_1,MG73,SC,R1
MG73_2,MG73,SC,R2
MG73_3,MG73,SC,R3
MG74_1,MG74,SC,R1
MG74_2,MG74,SC,R2
MG74_3,MG74,SC,R3
MG75_1,MG75,SC,R1
MG75_2,MG75,SC,R2
MG75_3,MG75,SC,R3
MG76_1,MG76,SC,R1
MG76_2,MG76,SC,R2
MG76_3,MG76,SC,R3
MG77_1,MG77,SC,R1
MG77_2,MG77,SC,R2
MG77_3,MG77,SC,R3
MG78_1,MG78,SC,R1
MG78_2,MG78,SC,R2
MG78_3,MG78,SC,R3
MG79_1,MG79,SC,R1
MG79_2,MG79,SC,R2
MG79_3,MG79,SC,R3
MG7_1,MG7,SC,R1
MG7_2,MG7,SC,R2
MG7_3,MG7,SC,R3
MG80_1,MG80,SC,R1
MG80_2,MG80,SC,R2
MG80_3,MG80,SC,R3
MG81_1,MG81,SC,R1
MG81_2,MG81,SC,R2
MG81_3,MG81,SC,R3
MG82_1,MG82,SC,R1
MG82_2,MG82,SC,R2
MG82_3,MG82,SC,R3
MG83_1,MG83,SC,R1
MG83_2,MG83,SC,R2
MG83_3,MG83,SC,R3
MG84_1,MG84,SC,R1
MG84_2,MG84,SC,R2
MG84_3,MG84,SC,R3
MG85_1,MG85,SC,R1
MG85_2,MG85,SC,R2
MG85_3,MG85,SC,R3
MG86_1,MG86,SC,R1
MG86_2,MG86,SC,R2
MG86_3,MG86,SC,R3
MG88_1,MG88,SC,R1
MG88_2,MG88,SC,R2
MG88_3,MG88,SC,R3
MG89_1,MG89,SC,R1
MG89_2,MG89,SC,R2
MG89_3,MG89,SC,R3
MG8_1,MG8,SC,R1
MG8_2,MG8,SC,R2
MG8_3,MG8,SC,R3
MG90_1,MG90,SC,R1
MG90_2,MG90,SC,R2
MG90_3,MG90,SC,R3
MG91_1,MG91,SC,R1
MG91_2,MG91,SC,R2
MG91_3,MG91,SC,R3
MG92_1,MG92,SC,R1
MG92_2,MG92,SC,R2
MG92_3,MG92,SC,R3
MG93_1,MG93,SC,R1
MG93_2,MG93,SC,R2
MG93_3,MG93,SC,R3
MG94_1,MG94,SC,R1
MG94_2,MG94,SC,R2
MG94_3,MG94,SC,R3
MG95_1,MG95,SC,R1
MG95_2,MG95,SC,R2
MG95_3,MG95,SC,R3
MG96_1,MG96,SC,R1
MG96_2,MG96,SC,R2
MG96_3,MG96,SC,R3
MG97_1,MG97,SC,R1
MG97_2,MG97,SC,R2
MG97_3,MG97,SC,R3
MG98_1,MG98,SC,R1
MG98_2,MG98,SC,R2
MG98_3,MG98,SC,R3
MG99_1,MG99,SC,R1
MG99_2,MG99,SC,R2
MG99_3,MG99,SC,R3
MG9_1,MG9,SC,R1
MG9_2,MG9,SC,R2
MG9_3,MG9,SC,R3
SC_1,Input,SC,R1
SC_2,Input,SC,R1
SC_3,Input,SC,R1
SC_4,Input,SC,R2
SC_5,Input,SC,R2
SC_6,Input,SC,R2
SC_7,Input,SC,R3
SC_8,Input,SC,R3
SC_9,Input,SC,R3
Stick_NI_1,Stick,NI,R1
Stick_NI_2,Stick,NI,R1
Stick_NI_3,Stick,NI,R2
Stick_NI_4,Stick,NI,R2
Stick_NI_5,Stick,NI,R3
Stick_NI_6,Stick,NI,R3
Stick_SC_1,Stick,SC,R1
Stick_SC_2,Stick,SC,R1
Stick_SC_3,Stick,SC,R2
Stick_SC_4,Stick,SC,R2
Stick_SC_5,Stick,SC,R3
Stick_SC_6,Stick,SC,R3
